No,店名,販売先住所,販売形態,備考,緯度,経度
82,嵯峨野ファームネット,京都市右京区嵯峨広沢南下馬町11,有人直売所,,35.020334,135.693484
83,九嶋農園,京都市右京区嵯峨北堀町（嵐電鹿王院駅すぐ）,有人直売所,,35.01677,135.68454
84,中村農園―畑にあるお店―,京都市右京区嵯峨野高田町20－1,午前：有人直売所／午後：無人直売所,,35.00871,135.69289
85,北真（きたしん）,京都市右京区北嵯峨八丈町13－3,無人直売所,,35.02855,135.68335
86,モモタ農園,京都市山科区四ノ宮奈良野町34,直売所（有人）,,34.99014,135.83116
87,平亀,京都市山科区大塚檀ノ浦34,直売所（無人）,,34.97531,135.82526
88,澤清（さわせ）,京都市山科区大宅鳥井脇町12,直売所（無人）,,34.96885,135.82089
89,森田農園,京都市山科区栗栖野華ノ木町18,直売所（無人）,,34.97139,135.80586
90,杉野農園,京都市山科区勧修寺東北出町24,直売所（無人）,,34.96199,135.80939
91,はいから園,京都市山科区勧修寺下ノ茶屋町12,直売所（有人）,,34.96009,135.80716
92,西村商店　自動販売機直売所,京都市山科区西野山百々町209,直売所（無人）,,34.97587,135.79735
93,奥田農園,山科区　清水焼団地，六兵工池付近 ／ 東山区　馬町，今熊野，第一日赤付近,振売り,,,
94,西野山　山渡,京都市山科区西野山桜ノ馬場町110,直売所（有人）,,34.9702,135.7961
95,内海（うつみ）,京都市山科区上花山講田町4,直売所（無人）,,34.98489,135.79807
96,粟津農園（上花山店）,京都市山科区上花山久保町81,直売所（無人）,,34.98208,135.79823
97,粟津農園（厨子奥店）,京都市山科区厨子奥矢倉町13,直売所（無人）,,34.98893,135.80649
98,勧修寺観光農園,京都市山科区勧修寺南大日町204,直売所（有人）,,34.95639,135.7959
99,株式会社　祇園かね松食料品店,京都市東山区大和大路通四条上る富永町143,有人直売,,35.004369,135.773133
100,小原農園,京都市東山区東山松原東入他,振売り,,34.997715,135.776293
101,大富（だいとみ）,京都市東山区仁五門～二条通付近,振売り,,35.011735,135.778515
102,森田農園,京都市東山区今熊野付近,振売り,,34.985499,135.774
103,入江重夫直売所,京都市上京区下立売御前通西入る大宮町503,直売所（有人）,,35.021135,135.734458
104,京やさい　佐伯,京都市上京区御前通仁和寺街道下る西側,直売所（有人）,,35.023348,135.735931
105,エナジィ・ママ,京都市上京区新町通一条上ル一条殿町483－2,小売店,,35.027655,135.75633
106,丸忠,京都市上京区黒門通一条上る弾正町728,八百屋,,35.026989,135.749958
107,髙山京の旬野菜販売所,京都市下京区七条御所ノ内本町47,有人直売所,,34.98437,135.73076
108,株式会社ヱビスク七条,京都市下京区新町通七条下る東塩小路町590-10,スーパー,,34.98871,135.75754
109,北弥青果店,京都市下京区河原町通仏光寺下る天満町269,八百屋,,35.00057,135.76865
110,大原野かぐやひめ市,境谷センター内エクセル境谷,朝市,毎週土曜日10時～,34.960353,135.668908
111,大原野かぐやひめ市,ラクセーヌ高島屋前,朝市,毎週木・日曜日10時～,34.96209,135.675803
112,大原野かぐやひめ市,竹の里会館前,朝市,毎週水曜日10時～,34.956856,135.670814
113,大原野農産物等直売所　マルシェ大原野,JA京都中央大原野支店前（京都市西京区大原野灰方町179）,朝市,"毎月第1・第3土曜日　午前9時～正午（売り切れ次第終了）
毎週火曜日　午前9時～午前11時30分（売り切れ次第終了）",34.953582,135.66805
114,大原ふれあい朝市,里の駅大原,朝市,毎週日曜日午前6時～午前9時開催（年始休あり）,35.114198,135.823507
